section,section_index,ENGLISH,RUSSIAN,JAPANESE,VIETNAMESE,KOREAN,ARMENIAN,CHINESE,SPANISH
header,1,Metro is making bus service changes. ,Metro вносит ряд изменений в график движения автобусов.,Metro のサービスが 変更されます。,Metro sắp tiến hành thay đổi dịch vụ.,Metro 는 버스편 운행 변 경을 진행하고 있습니다.,Metro-ն կատարում է փոփոխություններ տրամադրվողծառայություններում:,Metro 將對服務進行變更。,Metro está haciendo cambios al servicio de autobús. 
header,2,"New schedules beginning October 23, 2022.",Новый график вступает в силу 23 октября 2022 года.,最新の時刻表は、2022年10月23日から適用 されます。,Lịch trình mới sẽ bắt đầu có hiệu lực vào ngày 23 tháng 10 năm 2022.,새로운 일정은 2022년 10월 23일에 시작됩니다.,Նոր ժամանակացույցերը կգործեն2022 թ.-ի հոկտեմբերի 23-ից սկսած։,新安排將從2022年10月23日開始。,Nuevos horarios a partir del 23 de octubre de 2022.
header,3,"Metro is making service changes to some bus lines beginning Sunday, October 23, to provide our riders with more reliable and predictable service.","С воскресенья, 23 октября, вступают в силу изменения в графике движения некоторых автобусных маршрутов Metro. Это позволит сделать наши перевозки еще более надежными и обеспечить их пунктуальность. ",Metro では、より信頼性が高く予測可 能なサービスを提供させていただくた め、一部のバス路線において、10月23日（日）よりサービスの変更を行います。 ,"Metro sắp tiến hành thay đổi dịch vụ đối với một số tuyến xe buýt vào Chủ Nhật, ngày 23 tháng 10, để cung cấp cho hành khách các dịch vụ đáng tin cậy và dễ nắm bắt hơn. ",Metro 는 승객들에게 더 안정적이고 예 측 가능한 서비스를 제공하기 위해 10월 23일 일요일에 일부 버스 노선의 운행 서 비스 변경을 진행하고 있습니다. ,Հոկտեմբերի 23-ից՝ կիրակի օրվանից սկսած Metro-ն կատարում է փոփոխություններ ծառայություններում՝ մեր ուղևորներին ավելի հուսալի և կանխատեսելի սպասարկում ապահովելու համար: ,Metro即將在10月23日週日更動其巴士線路，藉此提供搭乘者更穩定的可預 測服務。,"Metro hará cambios en el servicio de algunas líneas de autobús a partir del domingo, 23 de octubre, para brindar un servicio más confiable y predecible a nuestros pasajeros."
summary_frequency,1,The following lines will have frequency improvements:,По этим маршрутам изменится частота движения.,下記の路線では、運行頻度が改善されます：,Các tuyến sau sẽ được tăng tần suất:,다음 버스 노선의 운행 간격이 개선됩니다.,Հետևյալ գծերը կունենան հաճախականության բարելավումներ.,下列線路的班次間隔時間將會縮短：,Se realizarán mejoras en la frecuencia de las siguientes líneas:
summary_frequency,2,"Weekday: 4, 18, 30, 53, 66, 70, 90, 92, 180, 207, 210, 212, 217, 224, 240, 690","Будни: 4, 18, 30, 53, 66, 70, 90, 92, 180, 207, 210, 212, 217, 224, 240, 690",平日： 4、18、30、53、66、70、90、92、180 、207、210、212、217、224、240、690,"Các ngày trong tuần: 4, 18, 30, 53, 66, 70, 90, 92, 180, 207, 210, 212, 217, 224, 240, 690","평일: 4, 18, 30, 53, 66, 70, 90, 92, 180, 207, 210, 212, 217, 224, 240, 690","շաբաթվա օրերին՝ 4, 18, 30, 53, 66, 70, 90, 92, 180, 207, 210, 212, 217, 224, 240, 690",週間： 4、18、30、53、66、70、90、92、180、207、210、212、217、224、240、690,"Entre semana: 4, 18, 30, 53, 66, 70, 90, 92, 180, 207, 210, 212, 217, 224, 240, 690"
summary_frequency,3,"Saturday and Sunday: 2, 4, 28, 210, 224, 690","Суббота и воскресенье: 2, 4, 28, 210, 224, 690",土曜日および日曜日： 2、4、28、210、224、690,"Thứ Bảy và Chủ Nhật: 2, 4, 28, 210, 224, 690","토요일 및 일요일: 2, 4, 28, 210, 224, 690","Շաբաթ և կիրակի օրերին՝ 2, 4, 28, 210, 224, 690",週六和週日： 2、4、28、210、224、690,"Sábados y domingos: 2, 4, 28, 210, 224, 690 "
summary_capacity,1,The following lines will have added trips for more capacity:,По этим маршрутам будут добавлены дополнительные рейсы для увеличения пропускной способности.,下記の路線では、輸送定員増加のために運行数が 追加されます：,Các tuyến sau sẽ được tăng chuyến để phục vụ nhiều hành khách hơn:,다음 버스 노선에는 더 많은 승객 수용을 위해 운행 이 추가됩니다.,Հետևյալ գծերում կավելացվեներթուղիներ՝ ուղևորություններն ավելիընդգրկուն դարձնելու համար.,下列線路將會增加出行班次以提高承載量：,Se añadirán viajes a las siguientes líneas para aumentar su capacidad:
summary_capacity,2,"Weekday: 108, 224, 460, 534","Будни: 108, 224, 460, 534",平日： 108、224、460、534,"Các ngày trong tuần: 108, 224, 460, 534","평일: 108, 224, 460, 534","շաբաթվա օրերին՝ 108, 224, 460, 534",週間： 108、224、460、534,"Entre semana: 108, 224, 460, 534"
summary_capacity,3,"Saturday: 33, 212","Суббота: 33, 212",土曜日： 33、212,"Thứ Bảy: 33, 212","토요일: 33, 212","շաբաթ օրը՝ 33, 212",週六： 33、212,"Sábados: 33, 212"
summary_capacity,4,Sunday: 212,Воскресенье: 212,日曜日： 212,Chủ Nhật: 212,일요일: 212,կիրակի օրը՝ 212,週日： 212,Domingos: 212
